2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-28 00:01:06,661 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:06,663 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:06,663 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:06,664 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:06,664 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:07,657 ERROR    Pause button not found.
2020-02-28 00:01:09,681 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:09,683 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:09,683 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:09,684 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:09,685 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:10,982 ERROR    Pause button not found.
2020-02-28 00:01:12,732 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:12,734 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:12,734 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:12,735 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:12,736 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:13,762 ERROR    Pause button not found.
2020-02-28 00:01:15,785 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:15,788 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:15,788 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:15,789 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:15,789 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:16,751 ERROR    Pause button not found.
2020-02-28 00:01:18,832 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:18,833 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:18,834 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:18,835 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:18,835 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:20,041 ERROR    Pause button not found.
2020-02-28 00:02:13,639 INFO     AutoImage script initialized in False
2020-02-28 00:02:13,692 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:13,694 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:13,695 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:13,695 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:13,696 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:14,626 ERROR    Pause button not found.
2020-02-28 00:02:16,760 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:16,760 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:16,760 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:16,760 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:16,760 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:17,854 ERROR    Pause button not found.
2020-02-28 00:02:19,795 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:19,797 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:19,797 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:19,798 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:19,799 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:20,695 ERROR    Pause button not found.
2020-02-28 00:02:22,820 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:22,822 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:22,822 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:22,823 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:22,823 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:23,732 ERROR    Pause button not found.
2020-02-28 00:02:25,872 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:25,874 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:25,874 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:25,875 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:25,875 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:26,787 ERROR    Pause button not found.
2020-02-28 00:02:28,907 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:28,908 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:28,909 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:28,910 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:28,910 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:29,815 ERROR    Pause button not found.
2020-02-28 00:02:31,954 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:31,957 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:31,957 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:31,958 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:31,958 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:32,917 ERROR    Pause button not found.
2020-02-28 00:02:34,946 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:34,948 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:34,948 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:34,949 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:34,950 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:35,979 ERROR    Pause button not found.
2020-02-28 00:02:38,004 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:38,004 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:38,004 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:38,004 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:38,004 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:39,024 ERROR    Pause button not found.
2020-02-28 00:02:41,059 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:41,060 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:41,061 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:41,062 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:41,062 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:02:41,948 ERROR    Pause button not found.
2020-02-28 00:02:44,072 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:02:44,072 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:02:44,072 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:02:44,072 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:02:44,072 DEBUG    STREAM b'IDAT' 91 1502
